"full_text","reply_count","retweet_count","favorite_count","url","created_at"
"Persona con ascedente en cada signo 🔮🖤
Parte 2 ✨ https://t.co/7JYJvILCZm","0","37","257","https://twitter.com/horoscoponegro/status/1525512087434313732","2022-05-14T16:23:18.000Z"
"Persona con ascedente en cada signo 🔮🖤
Parte 1 ✨ https://t.co/tE4v0UqnZ0","5","34","317","https://twitter.com/horoscoponegro/status/1525511834098356224","2022-05-14T16:22:18.000Z"
"🔮🔮🔮🔮🔮 https://t.co/7fHkNAIMIf","58","158","1408","https://twitter.com/horoscoponegro/status/1525489172106158082","2022-05-14T14:52:15.000Z"
"#ACUARIO: que quede claro que nadie va a descubrir cómo eres en un primer momento. No, las cosas poco a poco. Guardas mucho en tu interior.","2","15","136","https://twitter.com/horoscoponegro/status/1525464757620330497","2022-05-14T13:15:14.000Z"
"Lo que debes dejar marchar en 2022 🔮 https://t.co/RAxGtkH1zf","11","120","1256","https://twitter.com/horoscoponegro/status/1525203292640485378","2022-05-13T19:56:16.000Z"
"#PISCIS: te cuesta poner fin a las relaciones que te hacen daño. Pero eres fuerte y a pesar de todo, sabes empezar desde 0, con lo que sea","1","28","159","https://twitter.com/horoscoponegro/status/1525198544604479489","2022-05-13T19:37:24.000Z"
"#ARIES: eres caprichoso en muchas ocasiones y si a eso le sumas tu impulsividad, el resultado es que lo que quieres, lo tienes.","0","26","171","https://twitter.com/horoscoponegro/status/1525152955212652544","2022-05-13T16:36:15.000Z"
"Lo que hacen los signos con más frecuencia de lo que les gustaría 😂🔮 
Parte 3 ✨ https://t.co/CO0jzcMUIs","2","35","255","https://twitter.com/horoscoponegro/status/1525148983101997056","2022-05-13T16:20:28.000Z"
"Lo que hacen los signos con más frecuencia de lo que les gustaría 😂🔮 
Parte 1 ✨ https://t.co/EnOEVzJdon","5","33","248","https://twitter.com/horoscoponegro/status/1525148944950562818","2022-05-13T16:20:19.000Z"
"Lo que hacen los signos con más frecuencia de lo que les gustaría 😂🔮 
Parte 2 ✨ https://t.co/S2ejGV5Ngf","2","26","198","https://twitter.com/horoscoponegro/status/1525148944585596929","2022-05-13T16:20:18.000Z"
"Los mejores amigos de los signos 🔮 https://t.co/dCZx8QwJPE","23","70","762","https://twitter.com/horoscoponegro/status/1525126538936602625","2022-05-13T14:51:17.000Z"
"El signo por el que más te sientes atraído 🔮 https://t.co/DNPYFp3TAK","154","185","2082","https://twitter.com/horoscoponegro/status/1524840902736367616","2022-05-12T19:56:16.000Z"
"#TAURO: en principio tu signo destaca por ser tranquilo y sólo querer paz, pero tienes nervio y cuando estallas todos se quedan mudos","1","21","168","https://twitter.com/horoscoponegro/status/1524836659535171603","2022-05-12T19:39:24.000Z"
"Famosos con Luna en cada signo 🌙🔮

Parte 3 🖤✨ https://t.co/RN3CJgUJjk","7","16","171","https://twitter.com/horoscoponegro/status/1524794125689794565","2022-05-12T16:50:23.000Z"
"Famosos con Luna en cada signo 🌙🔮

Parte 2 🖤✨ https://t.co/llVaTTMOmt","1","14","163","https://twitter.com/horoscoponegro/status/1524794123928076294","2022-05-12T16:50:23.000Z"
